#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  11600      1.54e+00    1.07e+01      1.88e-02    1.49e-01      5.26e-02    3.65e-01    8.5e-05
  11800      4.23e+00    6.79e+00      7.40e-02    6.81e-02      1.45e-01    2.32e-01    8.5e-05
  12000      2.61e+00    5.00e+00      9.14e-02    2.27e-02      8.76e-02    1.71e-01    8.5e-05
  12200      5.62e+00    4.46e+00      1.39e-01    1.20e-01      1.92e-01    1.52e-01    8.5e-05
  12400      8.79e+00    5.60e+00      2.95e-02    1.41e-01      3.01e-01    1.91e-01    8.5e-05
  12600      4.06e+00    4.06e+00      8.30e-02    1.81e-01      1.39e-01    1.37e-01    8.5e-05
  12800      5.57e+00    3.12e+00      3.58e-02    2.49e-02      1.91e-01    1.07e-01    8.5e-05
  13000      4.31e+00    6.14e+00      4.19e-02    2.68e-02      1.47e-01    2.10e-01    8.5e-05
  13200      1.10e+00    4.39e+00      2.59e-02    1.38e-01      3.76e-02    1.48e-01    8.5e-05
  13400      6.16e+00    4.69e+00      1.96e-02    6.68e-02      2.11e-01    1.60e-01    8.5e-05
  13600      4.06e+00    3.47e+00      4.86e-02    6.60e-03      1.39e-01    1.19e-01    8.5e-05
  13800      4.89e+00    3.59e+00      1.43e-01    2.81e-02      1.67e-01    1.23e-01    8.5e-05
  14000      1.36e+00    3.17e+00      2.44e-03    1.04e-01      4.66e-02    1.08e-01    8.5e-05
  14200      4.25e+00    5.13e+00      3.20e-01    3.17e-01      1.40e-01    1.72e-01    8.5e-05
  14400      5.44e+00    3.04e+00      2.13e-01    1.71e-01      1.84e-01    9.96e-02    8.5e-05
  14600      4.83e+00    4.50e+00      4.10e-01    3.36e-01      1.58e-01    1.49e-01    8.5e-05
  14800      6.44e+00    4.10e+00      1.46e-02    5.61e-03      2.20e-01    1.40e-01    8.5e-05
  15000      2.39e+00    4.65e+00      3.36e-03    3.47e-02      8.52e-02    1.65e-01    7.9e-05
  15200      4.70e+00    4.54e+00      1.14e-01    1.65e-01      1.66e-01    1.60e-01    7.9e-05
  15400      1.23e+00    5.96e+00      3.86e-02    4.57e-02      4.36e-02    2.12e-01    7.9e-05
  15600      4.67e+00    6.52e+00      3.32e-01    3.00e-01      1.60e-01    2.28e-01    7.9e-05
  15800      1.06e+00    7.16e+00      3.29e-02    2.44e-02      3.75e-02    2.55e-01    7.9e-05
  16000      5.31e+00    4.61e+00      9.36e-03    7.98e-02      1.89e-01    1.64e-01    7.9e-05
  16200      3.05e+00    4.41e+00      1.51e-01    1.02e-01      1.07e-01    1.57e-01    7.9e-05
  16400      5.28e+00    6.76e+00      8.97e-02    3.89e-02      1.88e-01    2.41e-01    7.9e-05
  16600      4.41e+00    6.07e+00      2.19e-02    9.00e-03      1.57e-01    2.16e-01    7.9e-05
  16800      4.83e+00    5.64e+00      1.74e-02    6.28e-03      1.72e-01    2.01e-01    7.9e-05
  17000      5.14e+00    7.59e+00      4.26e-01    6.63e-01      1.73e-01    2.53e-01    7.9e-05
  17200      1.82e+00    4.62e+00      3.60e-02    1.66e-02      6.49e-02    1.65e-01    7.9e-05
  17400      4.48e+00    5.86e+00      1.88e-01    8.69e-03      1.57e-01    2.09e-01    7.9e-05
  17600      1.56e+00    7.05e+00      5.23e-02    4.24e-02      5.53e-02    2.51e-01    7.9e-05
  17800      9.00e+00    6.82e+00      1.53e-01    4.70e-02      3.20e-01    2.43e-01    7.9e-05
  18000      4.83e+00    3.76e+00      1.94e-01    5.75e-02      1.70e-01    1.33e-01    7.9e-05
  18200      5.45e+00    5.01e+00      3.72e-01    4.31e-03      1.87e-01    1.78e-01    7.9e-05
  18400      4.82e+00    5.61e+00      8.17e-02    1.92e-01      1.71e-01    1.98e-01    7.9e-05
  18600      1.27e+00    7.63e+00      1.62e-02    7.02e-02      4.52e-02    2.72e-01    7.9e-05
  18800      5.32e+00    4.30e+00      2.20e-02    5.32e-02      1.89e-01    1.53e-01    7.9e-05
  19000      4.46e+00    5.92e+00      3.14e-02    1.18e-01      1.59e-01    2.10e-01    7.9e-05
  19200      2.64e+00    5.27e+00      6.31e-02    4.50e-04      9.37e-02    1.88e-01    7.9e-05
  19400      1.96e+00    4.14e+00      5.73e-02    2.19e-02      6.97e-02    1.47e-01    7.9e-05
  19600      5.73e+00    5.83e+00      3.50e-01    4.21e-02      1.98e-01    2.08e-01    7.9e-05
  19800      1.65e+00    3.69e+00      2.32e-01    1.20e-01      5.61e-02    1.30e-01    7.9e-05
  20000      5.27e+00    6.01e+00      1.08e-01    1.40e-02      1.95e-01    2.23e-01    7.3e-05
  20200      5.44e+00    4.48e+00      2.26e-01    1.21e-02      1.98e-01    1.66e-01    7.3e-05
  20400      5.12e+00    3.57e+00      2.51e-03    3.80e-01      1.90e-01    1.29e-01    7.3e-05
  20600      6.87e+00    3.67e+00      1.95e-01    9.38e-02      2.53e-01    1.35e-01    7.3e-05
  20800      5.12e+00    5.83e+00      9.16e-02    5.70e-02      1.89e-01    2.16e-01    7.3e-05
  21000      5.27e+00    4.79e+00      3.67e-02    9.57e-02      1.95e-01    1.77e-01    7.3e-05
  21200      5.29e+00    4.35e+00      8.48e-03    3.68e-02      1.96e-01    1.61e-01    7.3e-05
  21400      1.00e+01    5.31e+00      2.05e-01    9.26e-03      3.68e-01    1.97e-01    7.3e-05
  21600      3.61e+00    4.21e+00      2.26e-02    1.43e-02      1.34e-01    1.56e-01    7.3e-05
  21800      1.55e+01    3.37e+00      9.71e-02    6.53e-02      5.76e-01    1.24e-01    7.3e-05
  22000      4.88e+00    7.19e+00      7.18e-02    1.17e-03      1.80e-01    2.66e-01    7.3e-05
  22200      5.61e+00    5.67e+00      1.28e-01    9.54e-02      2.07e-01    2.09e-01    7.3e-05
  22400      9.42e+00    5.78e+00      1.32e-01    5.45e-03      3.48e-01    2.14e-01    7.3e-05
  22600      5.69e+00    4.61e+00      1.75e-01    1.04e-01      2.09e-01    1.70e-01    7.3e-05
  22800      4.62e+00    6.84e+00      8.71e-02    3.67e-02      1.71e-01    2.53e-01    7.3e-05
  23000      4.29e+00    5.55e+00      7.98e-02    5.90e-02      1.59e-01    2.05e-01    7.3e-05
  23200      1.90e+00    2.87e+00      5.86e-02    4.93e-02      7.03e-02    1.06e-01    7.3e-05
  23400      5.09e+00    5.79e+00      4.27e-01    4.62e-01      1.76e-01    2.01e-01    7.3e-05
  23600      4.00e+00    4.94e+00      4.46e-02    7.15e-02      1.48e-01    1.83e-01    7.3e-05
  23800      2.88e+00    5.62e+00      9.14e-02    8.03e-02      1.06e-01    2.08e-01    7.3e-05
  24000      5.11e+00    6.28e+00      5.24e-02    1.89e-02      1.89e-01    2.33e-01    7.3e-05
  24200      1.43e+00    4.39e+00      2.53e-02    2.68e-02      5.31e-02    1.63e-01    7.3e-05
  24400      4.26e+00    2.80e+00      1.07e-01    1.94e-02      1.57e-01    1.04e-01    7.3e-05
  24600      4.52e+00    4.29e+00      4.85e-02    5.57e-02      1.67e-01    1.59e-01    7.3e-05
  24800      3.96e+00    4.39e+00      4.23e-03    7.93e-04      1.47e-01    1.63e-01    7.3e-05
  25000      1.13e+00    3.91e+00      7.25e-02    6.83e-02      4.32e-02    1.50e-01    6.7e-05
  25200      3.70e+00    4.70e+00      2.31e-03    3.23e-02      1.43e-01    1.81e-01    6.7e-05
  25400      5.21e+00    4.79e+00      2.25e-02    8.01e-02      2.01e-01    1.83e-01    6.7e-05
  25600      1.44e+00    4.53e+00      3.94e-02    2.62e-02      5.56e-02    1.75e-01    6.7e-05
  25800      2.90e+00    6.30e+00      7.55e-02    9.36e-02      1.11e-01    2.42e-01    6.7e-05
  26000      1.44e+00    4.96e+00      2.65e-02    3.08e-02      5.54e-02    1.91e-01    6.7e-05
  26200      3.41e+00    6.82e+00      8.00e-02    2.17e-03      1.31e-01    2.63e-01    6.7e-05
  26400      1.53e+00    3.77e+00      7.85e-02    9.25e-02      5.84e-02    1.45e-01    6.7e-05
  26600      3.23e+00    3.07e+00      1.70e-02    9.09e-02      1.25e-01    1.17e-01    6.7e-05
  26800      4.06e+00    3.62e+00      7.60e-02    2.17e-04      1.56e-01    1.40e-01    6.7e-05
  27000      5.08e+00    7.42e+00      2.43e-01    3.81e-02      1.91e-01    2.86e-01    6.7e-05
  27200      4.94e+00    8.05e+00      6.09e-02    1.65e-02      1.90e-01    3.11e-01    6.7e-05
  27400      7.56e+00    3.18e+00      5.90e-02    1.37e-02      2.91e-01    1.23e-01    6.7e-05
  27600      1.13e+00    6.28e+00      5.28e-03    5.89e-02      4.36e-02    2.42e-01    6.7e-05
  27800      1.93e+00    4.75e+00      2.79e-01    1.42e-01      6.94e-02    1.81e-01    6.7e-05
  28000      3.97e+00    4.31e+00      5.38e-03    1.50e-02      1.53e-01    1.66e-01    6.7e-05
  28200      4.54e+00    5.45e+00      5.07e-02    5.98e-03      1.75e-01    2.10e-01    6.7e-05
  28400      4.58e+00    4.83e+00      2.07e-02    1.56e-02      1.76e-01    1.86e-01    6.7e-05
  28600      3.30e+00    5.39e+00      1.53e-02    2.87e-02      1.27e-01    2.08e-01    6.7e-05
  28800      8.29e+00    5.09e+00      4.82e-02    1.12e-02      3.20e-01    1.96e-01    6.7e-05
  29000      4.28e+00    4.48e+00      1.40e-02    7.13e-03      1.65e-01    1.73e-01    6.7e-05
  29200      2.67e+00    4.22e+00      2.70e-02    2.47e-02      1.03e-01    1.63e-01    6.7e-05
  29400      1.27e+00    4.19e+00      4.95e-02    8.54e-02      4.88e-02    1.61e-01    6.7e-05
  29600      7.79e+00    4.85e+00      4.23e-02    6.10e-03      3.00e-01    1.87e-01    6.7e-05
  29800      1.68e+00    5.10e+00      6.21e-02    3.55e-02      6.45e-02    1.96e-01    6.7e-05
